LABEL;R_ACTUEL_BR;;;
R01;SUM;CS+TM;TCBR;54
R02;SUM;CS+TM;FCBR;30
R03;SUM;CS;BR;30
R04;SUM;TM;BR;30
R05;SUM;ST;TCBR;30
R06;SUM;ST;FCBR;30
R07;SUM;EC;BR;12
R08;SUM;ME;BR;4
R09;SUM;CT;BR;4
R10;SUM;ME+CT;BR;16
R11;SUM;UTT(CS+TM);BR;60
R12;EXIST;SE;UTT;0
R13;EXIST;NPML;UTT;0
